word,frequency
THE,148
OF,116
TO,105
AND,102
IS,51
A,50
IN,47
ARE,39
THAT,36
NOT,36
WE,35
OR,34
FOR,31
IT,30
WHAT,28
HIS,27
AS,24
BUT,23
HAVE,23
BE,22
BY,21
WITH,19
SO,18
WHICH,18
THEY,18
THIS,17
HAS,17
I,17
OUR,16
HOW,15
FROM,14
MAY,14
LIFE,13
THEIR,13
ALL,13
SOME,13
YOU,13
MORE,13
HE,12
AN,12
BEEN,12
AT,12
MAN,11
NO,11
ON,11
OWN,11
THERE,10
IF,10
THAN,10
WHO,10
EVEN,9
MUCH,9
CAN,9
MY,9
ONLY,9
DO,8
"LIFE,",8
OLD,8
ITS,7
KNOW,7
MOST,6
TOO,6
TRUE,6
WOULD,6
YET,6
VERY,6
MANY,6
INTO,6
WERE,6
MEN,6
ONE,6
SAME,6
CANNOT,5
DAY,5
LIVES,5
ANY,5
HAD,5
LIVE,5
NONE,5
HEAT,5
THEM.,4
USE,4
SHOULD,4
HIM,4
LIKE,4
NOR,4
THUS,4
FIND,4
GET,4
WHEN,4
WITHOUT,4
NECESSARIES,4
ME,4
GREAT,4
FOOD,4
WHILE,4
HUMAN,4
"COUNTRY,",3
ANYTHING,3
OFTEN,3
OURSELVES,3
"KNOW,",3
"LIVE,",3
YOUR,3
CALLED,3
MAKE,3
"DAY,",3
FORM,3
LOOK,3
DESPERATE,3
UNDER,3
UP,3
SAY,3
NEW,3
FUEL,3
FIRE,3
WISEST,3
EXPERIENCE,3
LEFT,3
IT.,3
THINGS,3
"IS,",3
WAS,3
GREATER,3
MIRACLE,3
PLACE,3
WELL,3
NECESSARY,3
THOSE,3
WHETHER,3
FEW,3
SHELTER,3
WARMTH,3
"IT,",3
CLOTHING,3
"FUEL,",3
"WARM,",3
ALSO,3
"FOOD,",3
THROUGH,2
FINER,2
FRUITS,2
"FINGERS,",2
THAT.,2
TIME,2
REMEMBER,2
JUDGE,2
HARD,2
DOUBT,2
SPEND,2
ROBBING,2
OUT,2
ANOTHER'S,2
MADE,2
"PAY,",2
AGAINST,2
BEHIND,2
"OR,",2
MATTER,2
GROSS,2
TOHAVE,2
DIVINITY,2
DOES,2
WATER,2
COMPARED,2
SEE,2
OPINION,2
"HIMSELF,",2
WITHOUR,2
PRIVATE,2
LAST,2
KILL,2
MASS,2
DESPERATION.,2
WISDOM,2
CONSIDER,2
HONESTLY,2
THINK,2
NEVER,2
GIVE,2
WAY,2
PEOPLE,2
TRY,2
"PEOPLE,",2
KEEP,2
LITTLE,2
AGE,2
IMPORTANT,2
ADVICE,2
SUCH,2
FAITH,2
LESS,2
HEAR,2
SAID,2
SAYS,2
SYSTEM,2
EVERY,2
OTHERS,2
GROUND,2
ACCORDING,2
WISE,2
GO,2
CUT,2
WHATEVER,2
SHALL,2
MIGHT,2
SIMPLE,2
SUN,2
ONCE,2
INTHE,2
VARIOUS,2
ATTHE,2
TAKE,2
US,2
AGES,2
PART,2
CALL,2
GOOD,2
LIVED,2
"YEARS,",2
DO.,2
ANXIETY,2
TAKEN,2
LONG,2
AREWE,2
FACT,2
METHODS,2
OBTAIN,2
MAN'S,2
MEAN,2
"ANY,",2
SENSE,2
SEVERAL,2
"CLOTHING,",2
TILL,2
THESE,2
PROBLEMS,2
"HOUSES,",2
"LUXURY,",2
"FIRE,",2
FAR,2
GOES,2
KEEPS,2
WANT,2
COURSE,2
"EXPRESSION,",2
WITHIN,2
PREPARE,2
VITAL,2
"SHELTER,",2
MAKES,2
LIFE.,2
PRESENT,2
COMFORTABLY,2
CLASS,2
OUTWARD,2
LUXURY,2
FRUIT,2
ADMIRABLE,2
PHILOSOPHER,2
MERELY,2
HUMBLER,2
"MEN,",1
COMPARATIVELY,1
FREE,1
MEREIGNORANCE,1
"MISTAKE,",1
OCCUPIED,1
FACTITIOUS,1
CARES,1
ANDSUPERFLUOUSLY,1
COARSE,1
LABORS,1
BEPLUCKED,1
EXCESSIVE,1
"TOIL,",1
CLUMSY,1
ANDTREMBLE,1
"ACTUALLY,",1
LABORING,1
LEISUREFOR,1
INTEGRITY,1
DAY;,1
AFFORD,1
SUSTAIN,1
THEMANLIEST,1
RELATIONS,1
MEN;,1
LABOR,1
DEPRECIATED,1
MARKET.HE,1
MACHINE.,1
WELLHIS,1
IGNORANCE--WHICH,1
GROWTH,1
REQUIRES--WHO,1
HISKNOWLEDGE?,1
FEED,1
CLOTHE,1
GRATUITOUSLY,1
"SOMETIMES,",1
ANDRECRUIT,1
"CORDIALS,",1
BEFORE,1
HIM.,1
FINESTQUALITIES,1
"NATURE,",1
BLOOM,1
"FRUITS,",1
PRESERVED,1
ONLYBY,1
DELICATE,1
HANDLING.,1
TREAT,1
